"user_sn","prac_sn","date","during_time","score_rate","binary_res","items_ans_time","indicator_name","subject_name"
"11303","49645580","2024-01-03 08:05:30","6","0","0@XX@0@XX@","2961@XX@3017@XX@","力的大小可由物體的改變測量得知","自然108"
"11303","49656576","2024-01-03 10:04:56","7","100","1@XX@1@XX@","3188@XX@3480@XX@","力的大小可由物體的改變程度得知","自然108"
"221236","49657850","2024-01-03 10:33:43","5","100","1@XX@1@XX@","2731@XX@1884@XX@","物體不接觸也可以有力的作用","自然108"
"221236","49657855","2024-01-03 10:33:51","4","100","1@XX@1@XX@","2417@XX@2186@XX@","物體不接觸也可以有力的作用","自然108"
"221236","49657858","2024-01-03 10:33:58","5","100","1@XX@1@XX@","3302@XX@1845@XX@","物體不接觸也可以有力的作用","自然108"
"46696","49657989","2024-01-03 10:38:15","9","100","1@XX@1@XX@","6634@XX@3297@XX@","物體不接觸也可以有力的作用","自然108"
"106735","49658372","2024-01-03 10:43:33","5","100","1@XX@1@XX@","2888@XX@2313@XX@","物體不接觸也可以有力的作用","自然108"
"11303","49658627","2024-01-03 10:46:24","13","50","0@XX@1@XX@","7042@XX@6123@XX@","物體不接觸也可以有力的作用","自然108"
"11303","49658663","2024-01-03 10:46:48","8","0","0@XX@0@XX@","2970@XX@4515@XX@"," 不同形式的能量可以相互轉換，但總量不變","自然108"
"23250","49668245","2024-01-03 16:37:24","13","100","1@XX@1@XX@","9690@XX@3317@XX@","物體不接觸也可以有力的作用","自然108"
"13328","49722700","2024-01-05 08:03:38","21","100","1@XX@1@XX@","7476@XX@14141@XX@","物體不接觸也可以有力的作用","自然108"
"286321","49746347","2024-01-05 13:26:12","17","100","1@XX@1@XX@","9522@XX@7660@XX@","物體不接觸也可以有力的作用","自然108"
"20034","49760360","2024-01-05 18:44:54","12","100","1@XX@1@XX@","5827@XX@6829@XX@","物體不接觸也可以有力的作用","自然108"
"122299","49763189","2024-01-05 21:08:49","21","50","1@XX@0@XX@","12786@XX@7372@XX@","物體不接觸也可以有力的作用","自然108"
"62947","49780720","2024-01-07 10:41:57","13","50","0@XX@1@XX@","7216@XX@6172@XX@","物體不接觸也可以有力的作用","自然108"
"108139","49790604","2024-01-07 19:58:06","11","100","1@XX@1@XX@","6903@XX@4105@XX@","物體不接觸也可以有力的作用","自然108"
"212767","49815981","2024-01-08 13:41:35","6","50","1@XX@0@XX@","3323@XX@3240@XX@","物體不接觸也可以有力的作用","自然108"
"200920","49827462","2024-01-08 16:33:09","23","33","0@XX@1@XX@0@XX@","6087@XX@10711@XX@6041@XX@","字音[五]/本音1","國語文108"
"200920","49827499","2024-01-08 16:33:44","9","100","1@XX@1@XX@1@XX@","2399@XX@3012@XX@4024@XX@","字音[五]/本音1","國語文108"
"200920","49827738","2024-01-08 16:36:09","18","0","0@XX@0@XX@","9551@XX@9190@XX@","字音[五]/本音2","國語文108"
"200920","49827756","2024-01-08 16:36:37","6","100","1@XX@1@XX@","3483@XX@3306@XX@","字音[五]/本音2","國語文108"
"200920","49827957","2024-01-08 16:38:16","44","25","1@XX@0@XX@0@XX@0@XX@","15581@XX@21889@XX@3326@XX@3146@XX@","字義[五]/字義1","國語文108"
"200920","49827987","2024-01-08 16:39:15","11","100","1@XX@1@XX@1@XX@1@XX@","2062@XX@2381@XX@4114@XX@2331@XX@","字義[五]/字義1","國語文108"
"200920","49828146","2024-01-08 16:41:36","28","100","1@XX@","28566@XX@","字義[五]/字義2","國語文108"
"272527","49865814","2024-01-09 14:28:04","10","100","1@XX@1@XX@","4274@XX@5446@XX@","彈簧在生活中的應用","自然108"
"272527","49865841","2024-01-09 14:28:21","17","100","1@XX@1@XX@","3255@XX@14129@XX@","物體速度越快動能越大","自然108"
"272527","49865879","2024-01-09 14:28:47","22","100","1@XX@1@XX@","5341@XX@17183@XX@","測量力的工具和方法","自然108"
"272527","49865905","2024-01-09 14:29:18","8","50","0@XX@1@XX@","4408@XX@3655@XX@","力的測量記錄與判讀","自然108"
"272527","49865921","2024-01-09 14:29:34","5","100","1@XX@1@XX@","2478@XX@3034@XX@","力的測量記錄與判讀","自然108"
"250399","49948492","2024-01-10 18:36:33","36","100","1@XX@1@XX@","10762@XX@25266@XX@","物體不接觸也可以有力的作用","自然108"
"272527","49953550","2024-01-10 23:49:00","7","0","0@XX@0@XX@","3114@XX@4240@XX@","物體不接觸也可以有力的作用","自然108"
"272527","49953615","2024-01-11 00:38:56","16","50","1@XX@0@XX@","6657@XX@9083@XX@","生活中許多工具是利用凸透鏡原理","自然108"
"272527","49953617","2024-01-11 00:39:28","6","0","0@XX@0@XX@","2854@XX@3169@XX@","自製水溶液導電檢測裝置並進行檢測","自然108"
"212767","50059333","2024-01-15 10:09:48","6","50","1@XX@0@XX@","3275@XX@2040@XX@","測量力的工具和方法","自然108"
"212767","50059359","2024-01-15 10:10:01","5","50","0@XX@1@XX@","2505@XX@2775@XX@","力的測量記錄與判讀","自然108"
"307570","50072007","2024-01-15 13:47:56","34","50","1@XX@0@XX@","14542@XX@19583@XX@","測量力的工具和方法","自然108"
"307570","50072031","2024-01-15 13:48:36","6","100","1@XX@1@XX@","2979@XX@2207@XX@","測量力的工具和方法","自然108"
"307570","50072100","2024-01-15 13:48:51","24","50","1@XX@0@XX@","10188@XX@13914@XX@","力的測量記錄與判讀","自然108"
"307570","50072130","2024-01-15 13:49:22","10","100","1@XX@1@XX@","5965@XX@3467@XX@","力的測量記錄與判讀","自然108"
"307570","50072254","2024-01-15 13:50:07","22","100","1@XX@1@XX@","17781@XX@4192@XX@","物體不接觸也可以有力的作用","自然108"
"200920","50084568","2024-01-15 17:16:26","36","0","0@XX@","35279@XX@","字形筆畫名稱[五]/臥鉤","國語文108"
"200920","50084574","2024-01-15 17:17:13","4","100","1@XX@","3874@XX@","字形筆畫名稱[五]/臥鉤","國語文108"
"200920","50084582","2024-01-15 17:17:26","12","100","1@XX@","12010@XX@","字形筆畫名稱[五]/長頓點","國語文108"
"200920","50084602","2024-01-15 17:17:57","16","0","0@XX@0@XX@","9245@XX@6342@XX@","字形筆畫名稱[五]/挑","國語文108"
"200920","50084609","2024-01-15 17:18:21","6","100","1@XX@1@XX@","2292@XX@3356@XX@","字形筆畫名稱[五]/挑","國語文108"
"200920","50084615","2024-01-15 17:18:37","15","0","0@XX@","14875@XX@","字形筆畫名稱[五]/捺","國語文108"
"200920","50084621","2024-01-15 17:18:59","3","100","1@XX@","3302@XX@","字形筆畫名稱[五]/捺","國語文108"
"200920","50084691","2024-01-15 17:19:12","134","0","0@XX@","133942@XX@","字形筆畫名稱[五]/斜鉤","國語文108"
"200920","50084694","2024-01-15 17:21:34","3","100","1@XX@","3659@XX@","字形筆畫名稱[五]/斜鉤","國語文108"
"200920","50084707","2024-01-15 17:21:50","13","100","1@XX@","12539@XX@","字形筆畫名稱[五]/斜鉤","國語文108"
"200920","50084718","2024-01-15 17:22:16","9","0","0@XX@","9176@XX@","字形筆畫名稱[五]/撇","國語文108"
"200920","50084723","2024-01-15 17:22:32","2","100","1@XX@","2462@XX@","字形筆畫名稱[五]/撇","國語文108"
"286321","50138402","2024-01-16 21:37:20","19","50","0@XX@1@XX@","12097@XX@7028@XX@","四季星空會有所不同","自然108"
"286321","50138403","2024-01-16 21:37:29","11","50","0@XX@1@XX@","4004@XX@6618@XX@","透過星星確認方位","自然108"
"286321","50138424","2024-01-16 21:38:14","6","0","0@XX@0@XX@","3232@XX@2891@XX@","燃燒需要空氣","自然108"
"286321","50138439","2024-01-16 21:38:38","11","50","0@XX@1@XX@","5523@XX@5948@XX@","氧氣與燃燒的關係","自然108"
"108139","50180312","2024-01-18 08:01:24","7","50","0@XX@1@XX@","4715@XX@2378@XX@","四季星空會有所不同","自然108"
"108139","50180334","2024-01-18 08:01:39","6","100","1@XX@1@XX@","3173@XX@3417@XX@","四季星空會有所不同","自然108"
"108139","50183553","2024-01-18 08:43:07","9","0","0@XX@0@XX@","5813@XX@2808@XX@","透過星星確認方位","自然108"
"108139","50183558","2024-01-18 08:43:20","6","50","0@XX@1@XX@","2932@XX@3240@XX@","透過星星確認方位","自然108"
"108139","50183572","2024-01-18 08:43:29","9","50","0@XX@1@XX@","5163@XX@4251@XX@","透過星星確認方位","自然108"
"108139","50183584","2024-01-18 08:43:45","5","100","1@XX@1@XX@","2585@XX@2549@XX@","透過星星確認方位","自然108"
"108139","50202686","2024-01-18 12:52:10","5","0","0@XX@0@XX@","2512@XX@2012@XX@","燃燒需要空氣","自然108"
"108139","50202698","2024-01-18 12:52:23","5","100","1@XX@1@XX@","2443@XX@2611@XX@","燃燒需要空氣","自然108"
"23250","50203256","2024-01-18 13:06:51","16","0","0@XX@0@XX@","13839@XX@2754@XX@","燃燒需要空氣","自然108"
"23250","50203260","2024-01-18 13:07:18","9","100","1@XX@1@XX@","3123@XX@5967@XX@","燃燒需要空氣","自然108"
"23250","50203526","2024-01-18 13:13:41","6","50","0@XX@1@XX@","3162@XX@2444@XX@","氧氣與燃燒的關係","自然108"
"221236","50203909","2024-01-17 10:29:50","96780","50","0@XX@1@XX@","96763834@XX@96769578@XX@96776428@XX@2844@XX@","透過星星確認方位","自然108"
"221236","50203916","2024-01-18 13:22:56","7","100","1@XX@1@XX@","3506@XX@2536@XX@","透過星星確認方位","自然108"
"221236","50203933","2024-01-18 13:23:23","6","0","0@XX@0@XX@","3521@XX@2669@XX@","四季星空會有所不同","自然108"
"221236","50203946","2024-01-18 13:23:37","6","100","1@XX@1@XX@","2764@XX@3439@XX@","四季星空會有所不同","自然108"
"13328","50225741","2024-01-18 22:25:18","20","50","0@XX@1@XX@","6463@XX@12771@XX@","四季星空會有所不同","自然108"
"13328","50226497","2024-01-19 07:23:49","18","0","0@XX@0@XX@","15246@XX@3173@XX@","透過星星確認方位","自然108"
"13328","50226498","2024-01-19 07:24:18","6","100","1@XX@1@XX@","3041@XX@3280@XX@","透過星星確認方位","自然108"
"13328","50226764","2024-01-19 07:43:12","19","0","0@XX@0@XX@","14627@XX@4335@XX@","燃燒需要空氣","自然108"
"13328","50226771","2024-01-19 07:43:42","6","0","0@XX@0@XX@","3409@XX@3119@XX@","燃燒需要空氣","自然108"
"13328","50226775","2024-01-19 07:43:56","7","100","1@XX@1@XX@","2877@XX@3688@XX@","燃燒需要空氣","自然108"
"13328","50226997","2024-01-19 07:55:06","6","50","0@XX@1@XX@","3398@XX@2526@XX@","氧氣與燃燒的關係","自然108"
"13328","50227004","2024-01-19 07:55:21","6","100","1@XX@1@XX@","3253@XX@2622@XX@","氧氣與燃燒的關係","自然108"
"250399","50231709","2024-01-19 09:28:46","12","0","0@XX@0@XX@","7309@XX@4349@XX@","四季星空會有所不同","自然108"
"250399","50231717","2024-01-19 09:29:06","5","100","1@XX@1@XX@","2557@XX@2548@XX@","四季星空會有所不同","自然108"
"108139","50244538","2024-01-19 11:49:29","7","100","1@XX@1@XX@","3141@XX@3886@XX@","氧氣與燃燒的關係","自然108"
"223594","50250674","2024-01-19 14:46:30","31","100","1@XX@1@XX@","18651@XX@12197@XX@","透過生活情境，使用未知數和數字間的運算表示某量。","數學108"
"223594","50250689","2024-01-19 14:47:11","13","100","1@XX@1@XX@","7682@XX@5424@XX@","透過生活情境，使用未知數和數字間的運算表示某量。","數學108"
"223594","50250761","2024-01-19 14:47:35","79","100","1@XX@1@XX@","62798@XX@16527@XX@","能用文字符號表徵生活情境中的未知量，並列成等式。","數學108"
"223594","50250780","2024-01-19 14:49:04","15","100","1@XX@1@XX@","8567@XX@6559@XX@","能用文字符號表徵生活情境中的未知量，並列成等式。","數學108"
"223594","50250789","2024-01-19 14:49:24","9","100","1@XX@1@XX@","4684@XX@4549@XX@","能用文字符號表徵生活情境中的未知量，並列成等式。","數學108"
"223594","50250878","2024-01-19 14:52:02","15","100","1@XX@1@XX@","8387@XX@6172@XX@","10以內聽讀寫做、0的使用。","數學108"
"223594","50250884","2024-01-19 14:52:25","9","100","1@XX@1@XX@","5235@XX@3708@XX@","10以內聽讀寫做、0的使用。","數學108"
"223594","50250905","2024-01-19 14:52:58","12","100","1@XX@1@XX@","5333@XX@6876@XX@","30以內聽讀寫做。","數學108"
"223594","50250921","2024-01-19 14:53:22","18","100","1@XX@1@XX@","12365@XX@5572@XX@","50以內聽讀寫做。","數學108"
"223594","50250933","2024-01-19 14:53:58","20","100","1@XX@1@XX@","6935@XX@13014@XX@","100以內聽讀寫做。","數學108"
"223594","50250950","2024-01-19 14:54:35","23","50","0@XX@1@XX@","8750@XX@13920@XX@","能知道幾月幾日是星期幾並能分辨昨天丶今天和明天的用語及其相互關係。","數學108"
"112627","50258800","2024-01-19 20:15:57","19","50","1@XX@0@XX@","9597@XX@9435@XX@","認識球及其組成要素。","數學"
"112627","50258810","2024-01-19 20:16:23","11","100","1@XX@1@XX@","4323@XX@6674@XX@","認識球及其組成要素。","數學"
"112627","50259003","2024-01-19 20:21:21","20","100","1@XX@1@XX@","7932@XX@12405@XX@","測量力的工具和方法","自然108"
"112627","50259007","2024-01-19 20:21:47","9","100","1@XX@1@XX@","4494@XX@4053@XX@","測量力的工具和方法","自然108"
"112627","50259035","2024-01-19 20:22:46","18","100","1@XX@1@XX@","8388@XX@10199@XX@","摩擦力會影響物體運動的情形","自然108"
"112627","50259061","2024-01-19 20:23:12","32","50","1@XX@0@XX@","16080@XX@15843@XX@","力的測量記錄與判讀","自然108"
"112627","50259071","2024-01-19 20:23:51","10","50","1@XX@0@XX@","6101@XX@3943@XX@","力的測量記錄與判讀","自然108"
"112627","50259119","2024-01-19 20:24:44","31","100","1@XX@1@XX@","14553@XX@16518@XX@","彈簧在生活中的應用","自然108"
"112627","50259131","2024-01-19 20:25:25","11","100","1@XX@1@XX@","5968@XX@5434@XX@","摩擦力會影響物體運動的情形","自然108"
"112627","50259146","2024-01-19 20:25:47","25","50","0@XX@1@XX@","15455@XX@9184@XX@","不同物質的表面，產生的摩擦力不同","自然108"
"112627","50259162","2024-01-19 20:26:28","8","100","1@XX@1@XX@","4917@XX@3575@XX@","不同物質的表面，產生的摩擦力不同","自然108"
"112627","50259187","2024-01-19 20:26:44","29","100","1@XX@1@XX@","7923@XX@20612@XX@","摩擦力對物體運動的重要性","自然108"
"112627","50259203","2024-01-19 20:27:23","16","50","1@XX@0@XX@","7705@XX@8665@XX@"," 不同形式的能量可以相互轉換，但總量不變","自然108"
"112627","50259220","2024-01-19 20:27:54","12","100","1@XX@1@XX@","5423@XX@6589@XX@"," 不同形式的能量可以相互轉換，但總量不變","自然108"
"112627","50259390","2024-01-19 20:32:24","28","50","1@XX@0@XX@","8468@XX@18907@XX@","力的大小可由物體的改變程度得知","自然108"
"112627","50259403","2024-01-19 20:33:05","10","100","1@XX@1@XX@","4970@XX@4846@XX@","力的大小可由物體的改變程度得知","自然108"
"112627","50259416","2024-01-19 20:33:24","29","0","0@XX@0@XX@","13680@XX@15036@XX@","力的大小可由物體的改變測量得知","自然108"
"112627","50259436","2024-01-19 20:34:16","10","100","1@XX@1@XX@","6219@XX@3730@XX@","力的大小可由物體的改變測量得知","自然108"
"112627","50259512","2024-01-19 20:36:20","24","100","1@XX@1@XX@","11215@XX@12355@XX@","力的平衡與判斷","自然108"
"112627","50259579","2024-01-19 20:38:43","29","100","1@XX@1@XX@","7175@XX@22044@XX@","透過對摺，認識線對稱圖形及其對稱軸。","數學108"
"112627","50259606","2024-01-19 20:39:24","29","100","1@XX@1@XX@","19824@XX@8543@XX@","能找出線對稱圖形的對稱點、對稱邊和對稱角。","數學108"
"122299","50269581","2024-01-20 11:48:27","54","100","1@XX@1@XX@","28425@XX@25358@XX@","四季星空會有所不同","自然108"
"212767","50285683","2024-01-21 08:29:43","6","50","1@XX@0@XX@","3580@XX@2999@XX@","四季星空會有所不同","自然108"
"212767","50285687","2024-01-21 08:30:07","12","50","1@XX@0@XX@","6680@XX@5915@XX@","透過星星確認方位","自然108"
"42415","50290669","2024-01-17 10:30:14","350843","0","0@XX@0@XX@","350272129@XX@350804472@XX@350836256@XX@5965@XX@","透過星星確認方位","自然108"
"250399","50303827","2024-01-21 23:08:26","58","0","0@XX@0@XX@","32248@XX@25476@XX@","燃燒需要空氣","自然108"
"250399","50303829","2024-01-21 23:09:35","8","100","1@XX@1@XX@","3851@XX@3540@XX@","燃燒需要空氣","自然108"
"250399","50303911","2024-01-21 23:23:04","247","0","0@XX@0@XX@","241230@XX@5621@XX@","透過星星確認方位","自然108"
"250399","50303915","2024-01-21 23:27:21","13","50","1@XX@0@XX@","10375@XX@3141@XX@","透過星星確認方位","自然108"
"250399","50303917","2024-01-21 23:27:43","5","100","1@XX@1@XX@","2748@XX@2912@XX@","透過星星確認方位","自然108"
"250399","50303950","2024-01-21 23:41:37","19","0","0@XX@0@XX@","16997@XX@2589@XX@","氧氣與燃燒的關係","自然108"
"250399","50303951","2024-01-21 23:42:06","6","100","1@XX@1@XX@","3004@XX@3292@XX@","氧氣與燃燒的關係","自然108"
"42415","50310047","2024-01-22 09:23:50","16","50","0@XX@1@XX@","10449@XX@5567@XX@","氧氣與燃燒的關係","自然108"
"42415","50311359","2024-01-22 09:35:38","39","50","0@XX@1@XX@","24708@XX@14340@XX@","燃燒需要空氣","自然108"
"212767","50360609","2024-01-23 09:23:05","11","0","0@XX@0@XX@","4846@XX@5732@XX@","燃燒需要空氣","自然108"
"20034","50374851","2024-01-23 10:55:33","7","50","0@XX@1@XX@","3572@XX@2994@XX@","氧氣與燃燒的關係","自然108"
"20034","50374923","2024-01-23 10:55:50","6","50","1@XX@0@XX@","3669@XX@2729@XX@","氧氣與燃燒的關係","自然108"
"20034","50374971","2024-01-23 10:56:04","6","100","1@XX@1@XX@","3680@XX@2657@XX@","氧氣與燃燒的關係","自然108"
"20034","50375372","2024-01-23 10:57:59","9","0","0@XX@0@XX@","5587@XX@2887@XX@","燃燒需要空氣","自然108"
"20034","50375432","2024-01-23 10:58:12","14","0","0@XX@0@XX@","11055@XX@2181@XX@","燃燒需要空氣","自然108"
"20034","50375471","2024-01-23 10:58:35","7","100","1@XX@1@XX@","3866@XX@2776@XX@","燃燒需要空氣","自然108"
"20034","50375717","2024-01-23 11:00:16","5","50","1@XX@0@XX@","2863@XX@2274@XX@","透過星星確認方位","自然108"
"20034","50375769","2024-01-23 11:00:26","12","50","1@XX@0@XX@","2923@XX@9247@XX@","透過星星確認方位","自然108"
"20034","50375798","2024-01-23 11:00:47","7","100","1@XX@1@XX@","4052@XX@3148@XX@","透過星星確認方位","自然108"
"20034","50375838","2024-01-23 11:01:06","7","50","1@XX@0@XX@","4444@XX@2226@XX@","四季星空會有所不同","自然108"
"20034","50375890","2024-01-23 11:01:22","7","100","1@XX@1@XX@","4501@XX@2669@XX@","四季星空會有所不同","自然108"
"122299","50397060","2024-01-23 16:54:19","29","0","0@XX@0@XX@","13567@XX@15401@XX@","透過星星確認方位","自然108"
"122299","50397082","2024-01-23 16:55:10","8","0","0@XX@0@XX@","5001@XX@3539@XX@","透過星星確認方位","自然108"
"122299","50397104","2024-01-23 16:55:36","8","0","0@XX@0@XX@","3411@XX@5368@XX@","透過星星確認方位","自然108"
"122299","50397131","2024-01-23 16:55:59","38","0","0@XX@0@XX@","21058@XX@17194@XX@","透過星星確認方位","自然108"
"122299","50397155","2024-01-23 16:57:14","13","100","1@XX@1@XX@","4007@XX@8675@XX@","透過星星確認方位","自然108"
"122299","50397327","2024-01-23 17:03:47","21","0","0@XX@0@XX@","9221@XX@11871@XX@","燃燒需要空氣","自然108"
"122299","50397334","2024-01-23 17:04:18","9","100","1@XX@1@XX@","4145@XX@4796@XX@","燃燒需要空氣","自然108"
"122299","50397387","2024-01-23 17:06:13","43","100","1@XX@1@XX@","8794@XX@21496@XX@20979@XX@","氧氣與燃燒的關係","自然108"
"307570","50500907","2024-01-26 07:47:15","14","50","0@XX@1@XX@","7992@XX@5994@XX@","氧氣與燃燒的關係","自然108"
"307570","50500909","2024-01-26 07:47:39","7","100","1@XX@1@XX@","3098@XX@3944@XX@","氧氣與燃燒的關係","自然108"
"307570","50500923","2024-01-26 07:50:31","151","0","0@XX@0@XX@","147227@XX@3715@XX@","燃燒需要空氣","自然108"
"307570","50500925","2024-01-26 07:53:12","10","100","1@XX@1@XX@","4661@XX@6064@XX@","燃燒需要空氣","自然108"
"307570","50539812","2024-01-27 08:03:07","12","50","0@XX@1@XX@","9874@XX@2077@XX@","透過星星確認方位","自然108"
"307570","50539813","2024-01-27 08:03:26","5","100","1@XX@1@XX@","2721@XX@2529@XX@","透過星星確認方位","自然108"
"307570","50539815","2024-01-27 08:04:01","8","0","0@XX@0@XX@","4866@XX@2626@XX@","四季星空會有所不同","自然108"
"307570","50539817","2024-01-27 08:04:20","6","100","1@XX@1@XX@","3293@XX@3296@XX@","四季星空會有所不同","自然108"
"46696","50604518","2024-01-30 09:17:49","5","0","0@XX@0@XX@","3126@XX@2209@XX@","燃燒需要空氣","自然108"
"46696","50633136","2024-01-31 08:53:27","4","50","0@XX@1@XX@","2096@XX@2228@XX@","氧氣與燃燒的關係","自然108"
"212767","50702708","2024-02-02 16:13:47","10","0","0@XX@0@XX@","5134@XX@4999@XX@","氧氣與燃燒的關係","自然108"
"106735","50717540","2024-02-03 15:46:42","23","50","0@XX@1@XX@","12792@XX@9848@XX@","氧氣與燃燒的關係","自然108"
"106735","50717752","2024-02-03 15:55:30","32","50","1@XX@0@XX@","17256@XX@14318@XX@","燃燒需要空氣","自然108"
"106735","50718019","2024-02-03 16:09:25","18","50","0@XX@1@XX@","8455@XX@8854@XX@","透過星星確認方位","自然108"
"17422","50721437","2024-02-03 20:27:07","36","50","0@XX@1@XX@","13215@XX@22521@XX@","能在分母為簡單整數的情況下，把分數轉換成小數。","數學108"
"17422","50721674","2024-02-03 20:38:31","194","100","1@XX@1@XX@","28310@XX@166410@XX@","能知道垂直相交的兩線段所成的四角都是直角。","數學108"
"17422","50721733","2024-02-03 20:45:53","22","0","0@XX@0@XX@","11937@XX@10349@XX@","能了解小數乘以10倍和100倍時，小數點位置的處理。","數學108"
"17422","50721736","2024-02-03 20:46:22","15","100","1@XX@1@XX@","8525@XX@6171@XX@","能了解小數乘以10倍和100倍時，小數點位置的處理。","數學108"
"17422","50721853","2024-02-03 20:55:07","70","100","1@XX@1@XX@","55050@XX@15449@XX@","能利用三角板理解平行的意義。","數學108"
"17422","50721879","2024-02-03 20:57:08","33","100","1@XX@1@XX@","16764@XX@16263@XX@","能利用三角板理解垂直的意義。","數學108"
"17422","50721924","2024-02-03 20:58:10","182","100","1@XX@1@XX@","11291@XX@170180@XX@","能做角度之比較與計算。","數學108"
"17422","50721936","2024-02-03 21:01:41","33","100","1@XX@1@XX@","10154@XX@22401@XX@","[同S-3-1-S04]能分辨比直角大的角和比直角小的角。","數學108"
"17422","50721973","2024-02-03 21:05:01","18","100","1@XX@1@XX@","7606@XX@9881@XX@","[同S-3-1-S03]能透過直尺、三角板、正方形、長方形認識直角。","數學108"
"17422","50721991","2024-02-03 21:05:56","28","100","1@XX@1@XX@","17782@XX@9482@XX@","[同S-3-1-S02]能透過直接的方式比較角的大小，並明白角的大小不會因邊的長度改變。","數學108"
"62947","50791325","2024-02-07 16:31:58","7","100","1@XX@1@XX@","4230@XX@2715@XX@","燃燒需要空氣","自然108"
"62947","50791331","2024-02-07 16:32:14","10","0","0@XX@0@XX@","6575@XX@3050@XX@","透過星星確認方位","自然108"
"62947","50791341","2024-02-07 16:32:34","9","50","1@XX@0@XX@","3960@XX@5013@XX@","四季星空會有所不同","自然108"
"8634","50847784","2024-02-13 00:25:20","1048","0","0@XX@0@XX@","1044121@XX@4546@XX@","燃燒需要空氣","自然108"
"8634","50847786","2024-02-13 00:42:58","119","100","1@XX@1@XX@","3000@XX@115799@XX@","燃燒需要空氣","自然108"
"8634","50847804","2024-02-13 00:45:45","257","100","1@XX@1@XX@","251971@XX@5552@XX@","燃燒需要空氣","自然108"
"8634","50847826","2024-02-13 00:56:46","10","0","0@XX@0@XX@","8086@XX@2489@XX@","透過星星確認方位","自然108"
"8634","50847827","2024-02-13 00:57:07","6","100","1@XX@1@XX@","2006@XX@4111@XX@","透過星星確認方位","自然108"
"8634","50867011","2024-02-14 01:18:19","7","50","0@XX@1@XX@","4208@XX@2395@XX@","四季星空會有所不同","自然108"
"8634","50867013","2024-02-14 01:18:37","6","100","1@XX@1@XX@","2570@XX@3441@XX@","四季星空會有所不同","自然108"
"106735","50961128","2024-02-16 18:36:41","103","0","0@XX@0@XX@","90372@XX@12586@XX@","能理解「單位分數」的意涵。","數學108"
"106735","50961334","2024-02-16 18:50:16","16","0","0@XX@0@XX@","11137@XX@5142@XX@","能用分數表示整數相除的概念。","數學108"
"307570","50965425","2024-02-16 20:48:33","32","50","0@XX@1@XX@","21376@XX@11097@XX@","能理解「單位分數」的意涵。","數學108"
"307570","50965439","2024-02-16 20:49:15","8","100","1@XX@1@XX@","3863@XX@3760@XX@","能理解「單位分數」的意涵。","數學108"
"23250","50966862","2024-02-16 21:27:10","35","0","0@XX@0@XX@","31109@XX@3225@XX@","能用分數表示整數相除的概念。","數學108"
"23250","50966873","2024-02-16 21:27:54","6","100","1@XX@1@XX@","3241@XX@2757@XX@","能用分數表示整數相除的概念。","數學108"
"46696","50967049","2024-02-16 21:32:21","11","50","0@XX@1@XX@","3921@XX@6975@XX@","能理解「單位分數」的意涵。","數學108"
"23250","50967193","2024-02-16 21:30:07","435","0","0@XX@0@XX@","425928@XX@9207@XX@","能理解「單位分數」的意涵。","數學108"
