"exam_sn","review_sn","question_sn","question_timestamp","binary_res","finish_time","ans_time"
"25660523","100268920","1200","79","1","2024-01-16 08:28:07","206"
"25660527","100267689","1188","164","1","2024-01-16 08:28:17","374"
"25660547","100269072","1171","93","1","2024-01-16 08:29:29","320"
"25660549","100269239","1171","93","1","2024-01-16 08:29:32","522"
"25660555","100269072","1172","107","1","2024-01-16 08:29:52","320"
"25660574","100268920","1201","165","0","2024-01-16 08:30:48","206"
"25660583","100269072","1173","121","1","2024-01-16 08:31:32","320"
"25660597","100269239","1171","93","1","2024-01-16 08:32:16","522"
"25660614","100269239","1172","107","1","2024-01-16 08:33:11","522"
"25660636","100269239","1173","121","1","2024-01-16 08:35:03","522"
"25667314","100438637","1182","32","1","2024-01-16 15:23:28","368"
"25667342","100438836","1170","56","1","2024-01-16 15:25:19","287"
"25667343","100438637","1183","72","1","2024-01-16 15:25:22","368"
"25667345","100438974","1201","165","1","2024-01-16 15:25:30","28"
"25667348","100439231","1170","56","0","2024-01-16 15:25:52","301"
"25667356","100439473","1186","39","1","2024-01-16 15:26:13","429"
"25667359","100439231","1170","56","1","2024-01-16 15:26:15","301"
"25667373","100438743","1201","165","1","2024-01-16 15:26:50","39"
"25667385","100439473","1187","95","1","2024-01-16 15:27:16","429"
"25667386","100439231","1171","93","1","2024-01-16 15:27:17","301"
"25667387","100438836","1171","93","1","2024-01-16 15:27:20","287"
"25667399","100439473","1188","164","1","2024-01-16 15:28:39","429"
"25667400","100440282","1182","32","1","2024-01-16 15:28:49","11"
"25667402","100438637","1184","139","1","2024-01-16 15:28:54","368"
"25667404","100438836","1172","107","1","2024-01-16 15:28:58","287"
"25667412","100439231","1172","107","1","2024-01-16 15:29:23","301"
"25667417","100440519","1170","56","1","2024-01-16 15:29:33","144"
"25667418","100438637","1185","171","1","2024-01-16 15:29:33","368"
"25667425","100440646","1186","39","1","2024-01-16 15:29:49","836"
"25667428","100438836","1173","121","1","2024-01-16 15:29:59","287"
"25667431","100439231","1173","121","1","2024-01-16 15:30:16","301"
"25667441","100440954","1182","32","1","2024-01-16 15:30:47","52"
"25667442","100439231","1173","121","1","2024-01-16 15:30:48","301"
"25667450","100440654","1183","72","1","2024-01-16 15:31:12","208"
"25667454","100440954","1183","72","1","2024-01-16 15:31:34","52"
"25667456","100440519","1171","93","1","2024-01-16 15:31:49","144"
"25667471","100440654","1184","139","1","2024-01-16 15:32:31","208"
"25667484","100439473","1189","211","1","2024-01-16 15:33:12","429"
"25667490","100441947","1182","32","1","2024-01-16 15:33:47","162"
"25667496","100442007","1186","39","1","2024-01-16 15:34:05","338"
"25667497","100440646","1187","95","1","2024-01-16 15:34:13","836"
"25667503","100440654","1185","171","1","2024-01-16 15:34:29","208"
"25667504","100441947","1183","72","1","2024-01-16 15:34:30","162"
"25667510","100442431","1186","39","1","2024-01-16 15:35:06","168"
"25667512","100442397","1186","39","1","2024-01-16 15:35:13","204"
"25667516","100442431","1186","39","1","2024-01-16 15:35:35","168"
"25667519","100441947","1184","139","1","2024-01-16 15:35:50","162"
"25667522","100440646","1188","164","1","2024-01-16 15:36:05","836"
"25667529","100442397","1187","95","1","2024-01-16 15:36:23","204"
"25667530","100441947","1185","171","1","2024-01-16 15:36:24","162"
"25667545","100442007","1187","95","1","2024-01-16 15:37:00","338"
"25667555","100442397","1188","164","1","2024-01-16 15:37:41","204"
"25667559","100442431","1187","95","1","2024-01-16 15:37:52","168"
"25667569","100442397","1189","211","1","2024-01-16 15:38:32","204"
"25667573","100442007","1188","164","1","2024-01-16 15:38:46","338"
"25667588","100442007","1189","211","1","2024-01-16 15:39:38","338"
"25667600","100440646","1186","39","1","2024-01-16 15:40:30","836"
"25667603","100444430","1186","39","1","2024-01-16 15:40:37","179"
"25667611","100440646","1187","95","1","2024-01-16 15:41:34","836"
"25667612","100444430","1187","95","1","2024-01-16 15:41:38","179"
"25667613","100444919","1186","39","1","2024-01-16 15:41:38","471"
"25667620","100444947","1170","56","1","2024-01-16 15:42:19","298"
"25667623","100444883","1186","39","1","2024-01-16 15:42:36","37"
"25667625","100444919","1187","95","1","2024-01-16 15:42:41","471"
"25667627","100440646","1188","164","1","2024-01-16 15:42:49","836"
"25667632","100444883","1186","39","1","2024-01-16 15:43:10","37"
"25667635","100443669","1186","39","1","2024-01-16 15:43:18","438"
"25667638","100444430","1186","39","1","2024-01-16 15:43:31","179"
"25667640","100444947","1171","93","1","2024-01-16 15:43:40","298"
"25667641","100440646","1189","211","1","2024-01-16 15:43:42","836"
"25667651","100443669","1187","95","1","2024-01-16 15:44:22","438"
"25667659","100443669","1187","95","1","2024-01-16 15:44:59","438"
"25667660","100444919","1188","164","1","2024-01-16 15:45:23","471"
"25667669","100444947","1172","107","1","2024-01-16 15:46:00","298"
"25667677","100446373","1198","70","1","2024-01-16 15:46:39","202"
"25667681","100443669","1188","164","1","2024-01-16 15:47:00","438"
"25667684","100444947","1173","121","1","2024-01-16 15:47:12","298"
"25667688","100446373","1200","79","1","2024-01-16 15:47:28","202"
"25667704","100444919","1189","211","1","2024-01-16 15:49:22","471"
"25667711","100446373","1201","165","0","2024-01-16 15:49:52","202"
"25667714","100448069","1170","56","1","2024-01-16 15:50:22","320"
"25667716","100447936","1170","56","1","2024-01-16 15:50:22","163"
"25667719","100443669","1189","211","1","2024-01-16 15:50:32","438"
"25667730","100448069","1171","93","1","2024-01-16 15:51:15","320"
"25667732","100447936","1171","93","1","2024-01-16 15:51:38","163"
"25667740","100447936","1172","107","1","2024-01-16 15:52:10","163"
"25667743","100448553","1187","95","1","2024-01-16 15:52:56","171"
"25667745","100447936","1173","121","1","2024-01-16 15:53:00","163"
"25667747","100448553","1188","164","1","2024-01-16 15:53:10","171"
"25667758","100448553","1188","164","1","2024-01-16 15:53:45","171"
"25667759","100448553","1186","39","1","2024-01-16 15:54:36","171"
"25667769","100448069","1172","107","1","2024-01-16 15:55:37","320"
"25667770","100448553","1189","211","1","2024-01-16 15:55:41","171"
"25668319","100462701","1170","56","1","2024-01-16 17:43:52","8"
"25668346","100463187","1186","39","1","2024-01-16 17:48:22","8055"
"25668354","100463187","1187","95","1","2024-01-16 17:49:32","8055"
"25668369","100463187","1188","164","1","2024-01-16 17:51:47","8055"
"25668374","100463187","1189","211","1","2024-01-16 17:53:36","8055"
"25668382","100463187","1186","39","1","2024-01-16 17:55:39","8055"
"25668395","100463187","1187","95","1","2024-01-16 17:58:58","8055"
"25668447","100464953","1198","70","1","2024-01-16 18:15:02","550"
"25668449","100464953","1200","79","1","2024-01-16 18:15:59","550"
"25668459","100464953","1198","70","1","2024-01-16 18:18:56","550"
"25668472","100464953","1198","70","1","2024-01-16 18:21:30","550"
"25668473","100464953","1200","79","1","2024-01-16 18:21:42","550"
"25668484","100464953","1201","165","1","2024-01-16 18:24:01","550"
"25668488","100466023","1187","95","1","2024-01-16 18:25:35","182"
"25668497","100466023","1188","164","1","2024-01-16 18:27:31","182"
"25668502","100466023","1189","211","1","2024-01-16 18:28:26","182"
"25668522","100466782","1170","56","1","2024-01-16 18:35:24","304"
"25668526","100466782","1171","93","1","2024-01-16 18:36:08","304"
"25668541","100466782","1171","93","1","2024-01-16 18:40:05","304"
"25668543","100466782","1172","107","1","2024-01-16 18:40:22","304"
"25668550","100467418","1173","121","1","2024-01-16 18:42:12","8"
"25668557","100467626","1174","70","1","2024-01-16 18:44:10","75"
"25668558","100467626","1175","93","1","2024-01-16 18:44:37","75"
"25668560","100467626","1176","108","1","2024-01-16 18:44:56","75"
"25668565","100467626","1177","126","1","2024-01-16 18:45:17","75"
"25669006","100463187","1188","164","1","2024-01-16 20:02:33","8055"
"25669038","100479841","10153","200","0","2024-01-16 20:08:23","45"
"25669077","100481432","1170","56","1","2024-01-16 20:14:30","341"
"25669108","100481432","1171","93","1","2024-01-16 20:18:45","341"
"25669110","100481432","1172","107","1","2024-01-16 20:19:05","341"
"25669117","100482148","10154","216","0","2024-01-16 20:19:37","14"
"25669120","100481432","1173","121","1","2024-01-16 20:20:05","341"
"25669348","100488029","1170","56","1","2024-01-16 20:45:53","83"
"25669354","100488029","1171","93","1","2024-01-16 20:46:34","83"
"25669357","100488029","1172","107","1","2024-01-16 20:46:51","83"
"25669360","100488029","1173","121","1","2024-01-16 20:47:08","83"
"25669748","100495908","10153","200","0","2024-01-16 21:31:10","31"
"25669757","100496164","10154","216","0","2024-01-16 21:32:07","3"
"25669772","100496505","8215","198","0","2024-01-16 21:34:17","49"
"25669826","100498000","8216","100","0","2024-01-16 21:42:15","102"
"25678776","100710910","10153","200","1","2024-01-18 07:41:57","4"
"25683850","100828419","1182","32","1","2024-01-18 12:43:08","448"
"25683873","100828419","1183","72","1","2024-01-18 12:45:38","448"
"25683875","100829158","10153","200","0","2024-01-18 12:46:04","58"
"25683880","100828419","1183","72","1","2024-01-18 12:46:28","448"
"25683917","100828419","1184","139","1","2024-01-18 12:48:24","448"
"25683949","100828419","1185","171","1","2024-01-18 12:50:16","448"
"25684073","100831890","10153","200","0","2024-01-18 12:58:23","97"
"25684080","100831890","10153","200","1","2024-01-18 12:58:40","97"
"25684099","100831791","10154","216","0","2024-01-18 12:59:58","56"
"25684106","100831791","10154","216","1","2024-01-18 13:00:29","56"
"25684239","100834189","8216","100","0","2024-01-18 13:10:03","38"
"25684262","100834183","8215","198","0","2024-01-18 13:11:58","56"
"25688725","100960662","10154","216","0","2024-01-19 07:29:27","7"
"25688745","100961291","10154","216","0","2024-01-19 07:39:08","16"
"25688750","100961512","8215","198","0","2024-01-19 07:40:37","21"
"25688800","100963026","10153","200","0","2024-01-19 07:53:10","5"
"25688806","100962836","8215","198","0","2024-01-19 07:54:17","13"
"25688830","100963326","8216","100","1","2024-01-19 07:58:53","91"
"25689680","100989421","8216","100","0","2024-01-19 09:32:11","2"
"25692685","101075567","1186","39","1","2024-01-19 14:00:42","348"
"25692723","101075567","1187","95","1","2024-01-19 14:03:36","348"
"25692739","101075567","1188","164","1","2024-01-19 14:05:32","348"
"25692749","101075567","1189","211","1","2024-01-19 14:06:26","348"
"25692790","101080047","1170","56","1","2024-01-19 14:13:04","283"
"25692799","101080047","1171","93","1","2024-01-19 14:13:47","283"
"25692817","101080047","1172","107","1","2024-01-19 14:17:09","283"
"25692821","101080047","1173","121","1","2024-01-19 14:17:40","283"
"25692859","101082331","1186","39","1","2024-01-19 14:26:56","93"
"25692867","101082331","1187","95","1","2024-01-19 14:28:24","93"
"25692901","101083654","1198","70","1","2024-01-19 14:34:10","92"
"25692906","101083654","1200","79","1","2024-01-19 14:35:31","92"
"25692915","101084709","1201","165","1","2024-01-19 14:37:48","27"
"25694249","101123913","1189","211","1","2024-01-19 19:56:43","8"
"25694287","101124784","1198","70","1","2024-01-19 20:03:57","251"
"25694291","101124784","1200","79","1","2024-01-19 20:04:58","251"
"25694306","101124784","1201","165","1","2024-01-19 20:07:56","251"
"25694322","101126264","1198","70","1","2024-01-19 20:10:28","98"
"25694330","101126264","1201","165","1","2024-01-19 20:12:01","98"
"25696234","101182156","10153","200","0","2024-01-20 11:41:45","6"
"25699782","101266285","10153","200","0","2024-01-21 08:29:01","2"
"25700002","101270050","10153","200","1","2024-01-21 09:27:09","73"
"25700838","101289190","10153","200","0","2024-01-21 11:40:16","31"
"25700914","101290553","10154","216","1","2024-01-21 11:51:53","2"
"25701012","101292633","8215","198","0","2024-01-21 12:07:16","6"
"25701895","101313518","1198","70","1","2024-01-21 15:12:21","1285"
"25701903","101313518","1198","70","1","2024-01-21 15:13:48","1285"
"25701918","101313518","1200","79","1","2024-01-21 15:15:34","1285"
"25702011","101313518","1201","165","1","2024-01-21 15:33:38","1285"
"25702495","101322902","8215","198","0","2024-01-21 17:10:17","1893"
"25704097","101359349","8215","198","1","2024-01-21 23:05:50","11"
"25704113","101359586","10154","216","0","2024-01-21 23:17:28","3"
"25704131","101359973","8216","100","0","2024-01-21 23:36:43","8"
"25704337","101364590","1182","32","1","2024-01-22 08:19:09","389"
"25704352","101364590","1183","72","1","2024-01-22 08:21:21","389"
"25704365","101364590","1184","139","1","2024-01-22 08:23:50","389"
"25704376","101364590","1185","171","1","2024-01-22 08:25:23","389"
"25704385","101365570","1182","32","1","2024-01-22 08:27:30","135"
"25704393","101365570","1183","72","1","2024-01-22 08:28:19","135"
"25704402","101365570","1184","139","1","2024-01-22 08:29:35","135"
"25704428","101366636","1185","171","1","2024-01-22 08:32:47","6"
"25704471","101366862","1182","32","1","2024-01-22 08:37:30","314"
"25704475","101367278","8215","198","0","2024-01-22 08:38:12","9"
"25704478","101366862","1183","72","1","2024-01-22 08:38:27","314"
"25704493","101366862","1184","139","1","2024-01-22 08:40:04","314"
"25704516","101366862","1185","171","1","2024-01-22 08:42:22","314"
